Номенклатура;Вид номенклатуры;Подвид;Файл сертификат;Файл инструкция;Текстовое описание;Файл картинки;Цена Евро;Бренд;Мощность горелки мин., кВт;Мощность горелки макс., кВт;Вид топлива;Цена РУБ;Мощность котла, кВт;Паропроизводительность котла, кг пара в час;Рабочее давление котла, бар;Текстовое описание2;Наличие;Артикул;Скидка партнера 1;Скидка партнера 2;Скидка партнера 3;Срок поставки
Горелка ж/т FBR FNDP 350/3 TL EL;Горелки для котлов отопления;Горелки мазутные;ДС EAЭС.pdf;;;FBR_FNDP_190_250_350_3.jpg;44399;FBR;;;Мазут;;;;;;1;3122;5;10;15;
Горелка ж/т FBR FNDP 450/3 TL EL;Горелки для котлов отопления;Горелки мазутные;ДС EAЭС.pdf;;;FBR_FNDP_190_250_350_3.jpg;47130;FBR;;;Мазут;;;;;;;3132;5;10;15;4-6 недель
Горелка ж/т FBR FGP 75/M TC;Горелки для котлов отопления;Горелки мазутные;ДС EAЭС.pdf;;;FGP75.jpg;12786;FBR;;;Мазут;;;;;;1;1722;5;10;15;
Горелка ж/т FBR FGP 75/M TL;Горелки для котлов отопления;Горелки мазутные;ДС EAЭС.pdf;;;FGP75.jpg;12910;FBR;;;Мазут;;;;;;1;1723;5;10;15;
Горелка ж/т FBR FNDP 190/M TL EL;Горелки для котлов отопления;Горелки мазутные;ДС EAЭС.pdf;;;FBR_FNDP_190_250_350_450_550_M.jpg;46178;FBR;;;Мазут;;;;;;1;3110;5;10;15;
Горелка ж/т FBR FNDP 250/M TL EL;Горелки для котлов отопления;Горелки мазутные;ДС EAЭС.pdf;;;FBR_FNDP_190_250_350_450_550_M.jpg;50150;FBR;;;Мазут;;;;;;1;3111;5;10;15;
Горелка ж/т FBR G X 3.22 LX TC;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;;FBR_G_X3.22_4.22_5.22.jpg;3774;FBR;;;Дизель;;;;;;1;1675;5;10;15;
Горелка ж/т FBR G X 3.22 LX TL;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;;FBR_G_X3.22_4.22_5.22.jpg;3857;FBR;;;Дизель;;;;;;1;1676;5;10;15;
Горелка ж/т FBR G X 4.22 LX TC;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;;FBR_G_X3.22_4.22_5.22.jpg;4022;FBR;;;Дизель;;;;;;1;1677;5;10;15;
Горелка ж/т FBR G X 4.22 LX TL;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;;FBR_G_X3.22_4.22_5.22.jpg;4105;FBR;;;Дизель;;;;;;1;1678;5;10;15;
Горелка ж/т FBR G X 5.22 LX TC;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;;FBR_G_X3.22_4.22_5.22.jpg;4958;FBR;;;Дизель;;;;;;1;1671;5;10;15;
Горелка ж/т FBR G X 5.22 LX TL;Горелки для котлов отопления;Горелки дизельные;ДС EAЭС.pdf;;;FBR_G_X3.22_4.22_5.22.jpg;5040;FBR;;;Дизель;;;;;;1;1672;5;10;15;
"Горелка газовая FBR GAS X0 CE TC + R. CE D1/2""-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 10-29.5 [Мкал/ч];
Тепловая мощность min. - max.: 11.6-34.3 [кВт];
Расход G20 (природный газ) min. - max.: 1.2-3.4 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 0.5-1.3 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 7/18 [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 60 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 52-55 [Дб];
Вес горелки: 8 [кг]";FBR_GAS_X0.jpg;1829;FBR;11,6;34,3;Природный газ;;;;;;1;002301R057152;5;10;15;
"Горелка газовая FBR GAS X0 CE TL + R. CE D1/2""-S";Горелки для котлов отопления;Горелки газовые;С-IT.НВ54.В.06000.pdf;;"Тепловая мощность min. - max.: 10-29.5 [Мкал/ч];
Тепловая мощность min. - max.: 11.6-34.3 [кВт];
Расход G20 (природный газ) min. - max.: 1.2-3.4 [м?/ч];
Расход G31 (L.P.G.) min. - max.: 0.5-1.3 [м?/ч];
Топливо: Природный газ (вторая группа) - сжиженный газ (третья группа);
Периодическая работа (мин. 1 остановка каждые 24 часа);
Допустимые условия эксплуатации / хранения: -15...+40°C/ -20...+70°C, макс. относ. влажн. 80%;
Макс. температура воздуха для горения: 60 [°C];
Мин. давление газа D1/2""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: 7/18 [мбар];
Мин. давление газа D3/4""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Мин. давление газа D1""1/4-S ПРИРОДНЫЙ ГАЗ/СЖИЖЕННЫЙ ГАЗ: - [мбар];
Максимальное давление на входе в клапана (Pe. макс): 60 [мбар];
Напряжение сети: 1/N~230V-50Hz;
Уровень электрозащиты: IP 40;
Уровень шума min. - max.: 52-55 [Дб];
Вес горелки: 8 [кг]";FBR_GAS_X0.jpg;1912;FBR;11,6;34,3;Природный газ;;;;;;1;002302R057152;5;10;15;
