Артикул;Оригинальное название;Родительская Серия;Столбец1;Мощность, кВт;Номинальный расход, м3/ч;Номинальный напор, м;Диаметр DN, мм;Полюса/Обороты;Источник данных;Наличие;Фото
74111740;CRV 1-2C;CRV 1;38970;0,37;1.6;9.8;32;2 / 2900;vj_api+math;1;CRV.jpeg
74111741;CRV 1-3C;CRV 1;47990;0,37;1.6;14.3;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111742;CRV 1-4C;CRV 1;50800;0,37;1.6;18.8;32;2 / 2900;vj_api+math;1;CRV.jpeg
74111743;CRV 1-5C;CRV 1;62740;0,37;1.6;24;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111744;CRV 1-6C;CRV 1;64560;0,37;1.6;29;32;2 / 2900;vj_api+math;1;CRV.jpeg
74111745;CRV 1-7C;CRV 1;66560;0,37;1.6;33;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111746;CRV 1-8C;CRV 1;72110;0,55;1.6;38;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111747;CRV 1-9C;CRV 1;74030;0,55;1.6;43;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111748;CRV 1-10C;CRV 1;77390;0,55;1.6;49;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111749;CRV 1-11C;CRV 1;83130;0,55;1.6;53;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111750;CRV 1-12C;CRV 1;87590;0,75;1.6;58;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111751;CRV 1-13C;CRV 1;90050;0,75;1.6;62;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111752;CRV 1-15C;CRV 1;94140;0,75;1.6;72;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111753;CRV 1-17C;CRV 1;96870;1,1;1.6;81;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111754;CRV 1-19C;CRV 1;104790;1,1;1.6;91;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111755;CRV 1-21C;CRV 1;109530;1,1;1.6;100;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111756;CRV 1-23C;CRV 1;124830;1,1;1.6;109;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111757;CRV 1-25C;CRV 1;127010;1,5;1.6;119;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111758;CRV 1-27C;CRV 1;130650;1,5;1.6;129;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111759;CRV 1-30C;CRV 1;133650;1,5;1.6;144;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111760;CRV 1-33C;CRV 1;172070;2,2;1.6;159;32;2 / 2900;vj_api+math;0;CRV.jpeg
74111761;CRV 1-36C;CRV 1;181630;2,2;1.6;174;32;2 / 2900;vj_api+math;0;CRV.jpeg
74113744;CRV 3-2C;CRV 3;42530;0,37;3;8.5;32;2 / 2900;vj_api+math;0;CRV.jpeg
74113745;CRV 3-3С;CRV 3;48440;0,37;3;12.8;32;2 / 2900;vj_api+math;1;CRV.jpeg
74113746;CRV 3-4С;CRV 3;54000;0,37;3;17.3;32;2 / 2900;vj_api+math;1;CRV.jpeg
74113747;CRV 3-5С;CRV 3;56450;0,37;3;22;32;2 / 2900;vj_api+math;1;CRV.jpeg
74113748;CRV 3-6С;CRV 3;59280;0,55;3;26;32;2 / 2900;vj_api+math;1;CRV.jpeg
74113749;CRV 3-7С;CRV 3;68650;0,55;3;31;32;2 / 2900;vj_api+math;1;CRV.jpeg
74113750;CRV 3-8С;CRV 3;71850;0,75;3;35;32;2 / 2900;vj_api+math;0;CRV.jpeg
74113751;CRV 3-9С;CRV 3;75300;0,75;3;39;32;2 / 2900;vj_api+math;1;CRV.jpeg
74113752;CRV 3-10С;CRV 3;77760;0,75;3;43;32;2 / 2900;vj_api+math;0;CRV.jpeg
74113753;CRV 3-11С;CRV 3;82850;1,1;3;48;32;2 / 2900;vj_api+math;1;CRV.jpeg
74113754;CRV 3-12С;CRV 3;88410;1,1;3;52;32;2 / 2900;vj_api+math;0;CRV.jpeg
74113755;CRV 3-13С;CRV 3;93050;1,1;3;57;32;2 / 2900;vj_api+math;1;CRV.jpeg
74113756;CRV 3-15С;CRV 3;96870;1,1;3;67;32;2 / 2900;vj_api+math;0;CRV.jpeg
74113757;CRV 3-17С;CRV 3;101520;1,5;3;78;32;2 / 2900;vj_api+math;0;CRV.jpeg
74113758;CRV 3-19С;CRV 3;104430;1,5;3;87;32;2 / 2900;vj_api+math;0;CRV.jpeg
74113759;CRV 3-21С;CRV 3;111540;2,2;3;95;32;2 / 2900;vj_api+math;0;CRV.jpeg
74113760;CRV 3-23С;CRV 3;117630;2,2;3;104;32;2 / 2900;vj_api+math;0;CRV.jpeg
74113761;CRV 3-25С;CRV 3;124720;2,2;3;113;32;2 / 2900;vj_api+math;0;CRV.jpeg
74113762;CRV 3-27С;CRV 3;129740;2,2;3;122;32;2 / 2900;vj_api+math;0;CRV.jpeg
74113763;CRV 3-29С;CRV 3;134290;2,2;3;131;32;2 / 2900;vj_api+math;0;CRV.jpeg
74113764;CRV 3-31С;CRV 3;138850;3;3;140;32;2 / 2900;vj_api+math;0;CRV.jpeg
74113765;CRV 3-33С;CRV 3;142300;3;3;149;32;2 / 2900;vj_api+math;0;CRV.jpeg
74113766;CRV 3-36С;CRV 3;147120;3;3;166;32;2 / 2900;vj_api+math;0;CRV.jpeg
74115744;CRV 5-2С;CRV 5;43620;0,37;5;10.8;32;2 / 2900;vj_api+math;0;CRV.jpeg
74115745;CRV 5-3С;CRV 5;49630;0,55;5;14.9;32;2 / 2900;vj_api+math;1;CRV.jpeg
74115746;CRV 5-4С;CRV 5;55180;0,55;5;19.7;32;2 / 2900;vj_api+math;1;CRV.jpeg
74115770;CRV 5-5С;CRV 5;60100;0,75;5;24;32;2 / 2900;vj_api+math;1;CRV.jpeg
74115771;CRV 5-6С;CRV 5;68010;1,1;5;30;32;2 / 2900;vj_api+math;1;CRV.jpeg
74115752;CRV 5-7С;CRV 5;70290;1,1;5;35;32;2 / 2900;vj_api+math;0;CRV.jpeg
74115753;CRV 5-8С;CRV 5;73940;1,1;5;40;32;2 / 2900;vj_api+math;1;CRV.jpeg
74115754;CRV 5-9С;CRV 5;77480;1,5;5;45;32;2 / 2900;vj_api+math;1;CRV.jpeg
74115755;CRV 5-10С;CRV 5;84680;1,5;5;50;32;2 / 2900;vj_api+math;1;CRV.jpeg
74115756;CRV 5-11С;CRV 5;88500;2,2;5;56;32;2 / 2900;vj_api+math;1;CRV.jpeg
74115757;CRV 5-12С;CRV 5;93690;2,2;5;62;32;2 / 2900;vj_api+math;0;CRV.jpeg
74115759;CRV 5-14С;CRV 5;96240;2,2;5;73;32;2 / 2900;vj_api+math;0;CRV.jpeg
74115760;CRV 5-15С;CRV 5;97700;2,2;5;80;32;2 / 2900;vj_api+math;1;CRV.jpeg
74115761;CRV 5-16С;CRV 5;99600;2,2;5;85;32;2 / 2900;vj_api+math;0;CRV.jpeg
74115762;CRV 5-18С;CRV 5;116450;3;5;95;32;2 / 2900;vj_api+math;0;CRV.jpeg
74115763;CRV 5-20С;CRV 5;120450;3;5;105;32;2 / 2900;vj_api+math;0;CRV.jpeg
74115764;CRV 5-22С;CRV 5;149300;4;5;115;32;2 / 2900;vj_api+math;0;CRV.jpeg
74115765;CRV 5-24С;CRV 5;158500;4;5;127;32;2 / 2900;vj_api+math;0;CRV.jpeg
74115766;CRV 5-26С;CRV 5;168150;4;5;137;32;2 / 2900;vj_api+math;0;CRV.jpeg
74115767;CRV 5-29С;CRV 5;201290;4;5;155;32;2 / 2900;vj_api+math;0;CRV.jpeg
74115768;CRV 5-32С;CRV 5;215580;5,5;5;174;32;2 / 2900;vj_api+math;0;CRV.jpeg
74115769;CRV 5-36С;CRV 5;226240;5,5;5;196;32;2 / 2900;vj_api+math;0;CRV.jpeg
74118717;CRV 15-1C;CRV 15;90680;1,1;15;11.3;50;2 / 2900;vj_api+math;0;CRV.jpeg
74118718;CRV 15-2C;CRV 15;105420;2,2;15;22;50;2 / 2900;vj_api+math;1;CRV.jpeg
74118712;CRV 15-3C;CRV 15;130470;3;15;33;50;2 / 2900;vj_api+math;1;CRV.jpeg
74118719;CRV 15-4C;CRV 15;150940;4;15;44;50;2 / 2900;vj_api+math;1;CRV.jpeg
74118720;CRV 15-5C;CRV 15;173430;4;15;56;50;2 / 2900;vj_api+math;1;CRV.jpeg
74118721;CRV 15-6C;CRV 15;195370;5,5;15;68;50;2 / 2900;vj_api+math;1;CRV.jpeg
